batch_id,fish_species,has_temperature_telemetry,temperature_reading_count,current_temperature,average_temperature,minimum_temperature,maximum_temperature,air_temperature,humidity,storage_duration_hours,transport_duration_hours,time_above_limit_minutes,temperature_violation_count,time_since_catch_hours,spoilage_risk
SYNTH-BATCH-000014,Sardine,True,25,1.28,1.87,1.28,3.39,-0.46,54.51,67.09,13.36,12.76,1,67.09,LOW
SYNTH-BATCH-000014,Sardine,True,60,1.75,1.33,-0.34,1.75,-1.2,65.62,100.64,13.34,0.0,0,100.64,LOW
SYNTH-BATCH-000014,Sardine,True,61,4.72,2.26,1.67,4.75,0.9,53.3,134.18,36.41,373.51,8,134.18,MEDIUM
SYNTH-BATCH-000015,Other,True,31,8.21,8.01,6.09,10.37,6.61,77.75,34.3,14.83,889.8,31,34.3,HIGH
SYNTH-BATCH-000015,Other,True,57,9.16,8.31,6.13,11.33,8.76,79.92,68.6,20.04,1202.17,57,68.6,HIGH
SYNTH-BATCH-000015,Other,True,81,7.23,6.91,6.0,8.62,9.12,87.85,102.89,43.84,2630.35,80,102.89,HIGH
SYNTH-BATCH-000015,Other,True,278,7.51,7.71,5.26,9.85,8.04,77.43,137.19,71.16,4269.49,277,137.19,HIGH
SYNTH-BATCH-000016,Sardine,True,41,4.73,5.21,2.75,9.13,5.19,84.16,29.72,9.17,481.54,36,29.72,MEDIUM
SYNTH-BATCH-000016,Sardine,True,102,7.32,6.16,3.73,7.32,6.12,79.01,59.44,18.21,922.47,85,59.44,HIGH
SYNTH-BATCH-000016,Sardine,True,264,6.57,6.21,5.84,10.39,5.35,75.18,89.16,45.13,2707.8,263,89.16,HIGH
SYNTH-BATCH-000016,Sardine,False,0,,,,,7.76,78.51,118.88,45.57,0.0,0,118.88,MEDIUM
SYNTH-BATCH-000017,Snapper,True,9,9.54,9.66,8.71,10.24,8.92,65.87,6.65,2.25,135.0,8,6.65,MEDIUM
SYNTH-BATCH-000017,Snapper,True,11,9.51,9.78,9.51,10.25,9.26,63.76,13.31,5.26,315.6,11,13.31,HIGH
SYNTH-BATCH-000017,Snapper,True,6,9.16,9.62,7.26,11.16,,67.36,19.96,2.65,159.0,6,19.96,HIGH
SYNTH-BATCH-000017,Snapper,True,11,10.86,10.31,8.47,12.84,8.15,69.25,26.62,3.97,238.06,11,26.62,HIGH
SYNTH-BATCH-000018,Sardine,True,57,2.11,2.84,0.36,5.87,0.17,68.1,31.41,13.27,263.07,20,31.41,MEDIUM
SYNTH-BATCH-000018,Sardine,False,0,,,,,4.22,77.43,62.82,33.93,0.0,0,62.82,MEDIUM
SYNTH-BATCH-000018,Sardine,True,71,3.45,1.79,1.38,4.32,4.3,76.22,94.23,19.67,94.54,3,94.23,MEDIUM
SYNTH-BATCH-000018,Sardine,True,293,5.1,4.51,2.58,5.45,3.15,73.99,125.64,52.57,1569.01,147,125.64,HIGH
SYNTH-BATCH-000019,Mackerel,True,55,2.07,3.25,1.02,5.22,4.29,83.63,30.19,13.99,274.94,20,30.19,MEDIUM
SYNTH-BATCH-000019,Mackerel,True,131,3.87,4.1,3.87,6.1,5.08,85.21,60.37,31.55,946.23,63,60.37,MEDIUM
SYNTH-BATCH-000019,Mackerel,True,163,4.75,3.9,3.22,6.81,4.09,85.91,90.56,47.52,1521.12,87,90.56,HIGH
SYNTH-BATCH-000019,Mackerel,True,99,2.01,2.69,1.09,6.23,2.1,85.59,120.75,58.95,1205.61,34,120.75,MEDIUM
SYNTH-BATCH-000020,Mackerel,True,35,7.26,5.46,4.17,7.26,4.05,78.9,41.31,12.2,553.6,25,41.31,MEDIUM
SYNTH-BATCH-000020,Mackerel,True,211,7.29,6.54,5.77,9.35,5.92,80.38,82.62,37.06,2223.32,211,82.62,HIGH
SYNTH-BATCH-000020,Mackerel,True,179,6.66,6.22,3.46,6.66,6.47,80.49,123.93,42.13,2019.55,141,123.93,HIGH
SYNTH-BATCH-000020,Mackerel,True,123,10.5,9.57,7.2,13.71,5.2,82.26,165.24,69.3,4157.81,123,165.24,HIGH
SYNTH-BATCH-000021,Other,True,81,1.83,2.66,1.31,5.04,2.76,82.0,38.43,16.87,245.65,19,38.43,LOW
SYNTH-BATCH-000021,Other,True,25,1.32,0.89,-1.01,1.32,1.3,81.72,76.87,16.75,0.0,3,76.87,LOW
SYNTH-BATCH-000021,Other,True,125,5.89,4.63,2.43,6.95,-0.31,77.85,115.3,22.76,861.97,81,115.3,HIGH
SYNTH-BATCH-000021,Other,True,272,4.29,3.04,1.11,4.29,0.75,81.34,153.73,79.08,1082.09,63,153.73,MEDIUM
SYNTH-BATCH-000022,Tilapia,True,15,3.73,2.56,2.25,5.3,3.02,89.91,19.49,4.85,73.07,4,19.49,LOW
SYNTH-BATCH-000022,Tilapia,True,13,5.23,3.68,3.04,5.43,0.81,86.95,38.97,5.62,133.62,5,38.97,LOW
SYNTH-BATCH-000022,Tilapia,True,162,5.34,4.12,3.81,7.68,3.58,90.81,58.46,30.28,1142.9,104,58.46,HIGH
SYNTH-BATCH-000022,Tilapia,True,171,3.62,4.42,3.55,4.83,4.34,96.57,77.95,38.07,996.41,75,77.95,MEDIUM
SYNTH-BATCH-000023,Snapper,False,0,,,,,2.18,77.37,17.55,2.16,0.0,0,17.55,LOW
SYNTH-BATCH-000023,Snapper,True,52,1.79,0.19,-0.01,3.4,0.51,75.84,35.1,11.2,0.0,0,35.1,LOW
SYNTH-BATCH-000023,Snapper,True,49,0.89,0.56,-1.49,2.86,-1.82,72.74,52.66,21.67,0.0,0,52.66,LOW
SYNTH-BATCH-000023,Snapper,True,43,0.02,0.67,-1.94,3.11,,72.42,70.21,26.36,0.0,0,70.21,LOW
SYNTH-BATCH-000024,Tuna,True,11,0.58,0.79,0.36,3.61,1.46,84.0,14.34,3.22,0.0,0,14.34,LOW
SYNTH-BATCH-000024,Tuna,True,80,2.68,1.5,-0.05,2.68,2.5,82.96,28.69,14.19,0.0,0,28.69,LOW
SYNTH-BATCH-000024,Tuna,True,45,1.76,0.81,-1.32,4.79,0.99,84.14,43.03,9.7,0.72,0,43.03,LOW
SYNTH-BATCH-000024,Tuna,True,116,0.87,1.06,0.58,3.13,1.21,80.8,57.37,27.09,0.0,2,57.37,LOW
SYNTH-BATCH-000025,Tilapia,True,26,1.86,2.72,0.09,3.53,-0.28,62.12,38.17,5.19,40.07,3,38.17,LOW
SYNTH-BATCH-000025,Tilapia,True,111,1.51,2.05,0.32,2.64,1.18,58.97,76.33,20.65,0.0,0,76.33,LOW
SYNTH-BATCH-000025,Tilapia,True,104,4.79,4.25,1.69,7.57,2.1,59.88,114.5,33.23,1266.64,66,114.5,MEDIUM
SYNTH-BATCH-000025,Tilapia,True,124,1.17,1.93,0.73,4.53,2.61,64.2,152.66,55.67,379.8,14,152.66,MEDIUM
SYNTH-BATCH-000026,Mackerel,False,0,,,,,5.79,72.47,13.33,3.16,0.0,0,13.33,LOW
SYNTH-BATCH-000026,Mackerel,True,28,4.77,6.4,4.77,9.9,9.89,79.06,26.65,6.19,371.4,28,26.65,HIGH
SYNTH-BATCH-000026,Mackerel,True,108,8.97,7.92,5.62,10.97,6.11,74.85,39.98,21.55,1293.0,108,39.98,HIGH
SYNTH-BATCH-000026,Mackerel,True,37,7.34,7.14,4.45,10.92,5.59,,53.3,12.62,757.07,37,53.3,HIGH
SYNTH-BATCH-000027,Tuna,False,0,,,,,6.81,58.52,14.07,2.72,0.0,0,14.07,LOW
SYNTH-BATCH-000027,Tuna,True,7,11.39,8.95,8.01,12.69,10.32,68.92,28.13,4.33,259.6,7,28.13,HIGH
SYNTH-BATCH-000027,Tuna,True,61,8.64,7.98,7.23,9.5,7.88,64.4,42.2,19.1,1145.8,61,42.2,HIGH
SYNTH-BATCH-000027,Tuna,True,23,6.3,6.98,4.38,7.46,8.2,64.19,56.27,7.43,425.38,23,56.27,HIGH
SYNTH-BATCH-000028,Snapper,True,12,10.89,8.85,7.7,11.34,8.03,74.27,23.49,4.3,258.0,10,23.49,MEDIUM
SYNTH-BATCH-000028,Snapper,True,54,9.05,8.64,7.72,9.05,8.65,76.77,46.98,12.51,750.56,54,46.98,HIGH
SYNTH-BATCH-000028,Snapper,True,124,10.81,10.84,9.07,13.46,10.42,,70.47,33.86,2031.6,124,70.47,HIGH
SYNTH-BATCH-000028,Snapper,True,139,13.31,11.44,10.49,13.38,8.01,78.91,93.96,36.52,2190.94,137,93.96,HIGH
SYNTH-BATCH-000029,Other,True,16,8.35,8.55,7.76,11.34,6.33,86.71,28.36,10.19,611.23,16,28.36,HIGH
SYNTH-BATCH-000029,Other,True,32,7.38,7.98,7.38,11.29,7.74,84.37,56.72,9.63,577.5,31,56.72,HIGH
SYNTH-BATCH-000029,Other,False,0,,,,,7.84,90.98,85.08,27.17,0.0,0,85.08,MEDIUM
SYNTH-BATCH-000029,Other,True,47,6.23,7.69,4.92,11.03,7.39,,113.43,28.56,1713.6,47,113.43,HIGH
SYNTH-BATCH-000030,Mackerel,True,23,7.02,7.58,6.25,11.64,7.21,91.07,33.9,5.23,313.77,23,33.9,HIGH
SYNTH-BATCH-000030,Mackerel,True,65,8.21,8.16,6.94,10.73,7.52,87.88,67.8,18.43,1105.8,64,67.8,HIGH
SYNTH-BATCH-000030,Mackerel,True,226,7.42,7.99,6.68,11.95,7.44,87.48,101.7,45.27,2716.2,225,101.7,HIGH
SYNTH-BATCH-000030,Mackerel,True,260,6.58,6.66,4.52,10.42,8.87,84.37,135.6,71.09,4265.4,260,135.6,HIGH
SYNTH-BATCH-000031,Tilapia,True,10,7.92,7.26,5.6,9.66,8.22,67.08,10.01,2.0,120.0,10,10.01,MEDIUM
SYNTH-BATCH-000031,Tilapia,True,33,7.32,5.5,4.38,7.32,5.73,66.44,20.01,9.49,436.1,23,20.01,MEDIUM
SYNTH-BATCH-000031,Tilapia,True,75,8.77,8.27,6.11,8.77,5.49,63.91,30.02,13.5,809.92,75,30.02,HIGH
SYNTH-BATCH-000031,Tilapia,True,53,7.87,8.12,5.4,12.1,3.36,67.02,40.02,17.78,1066.8,53,40.02,HIGH
SYNTH-BATCH-000032,Tuna,True,31,5.18,3.64,1.4,5.18,0.4,66.8,40.86,17.34,385.96,8,40.86,MEDIUM
SYNTH-BATCH-000032,Tuna,True,69,4.2,3.51,3.27,6.38,6.33,68.76,81.72,37.29,1008.65,33,81.72,MEDIUM
SYNTH-BATCH-000032,Tuna,True,144,4.2,4.48,3.44,6.74,5.98,69.31,122.58,51.47,1842.61,86,122.58,HIGH
SYNTH-BATCH-000032,Tuna,True,204,1.63,3.32,1.34,4.49,3.21,69.26,163.44,40.24,669.42,56,163.44,MEDIUM
SYNTH-BATCH-000033,Snapper,True,14,-0.8,0.58,-0.89,2.21,-0.61,64.98,14.46,6.39,0.0,3,14.46,LOW
SYNTH-BATCH-000033,Snapper,True,26,-1.19,-1.23,-2.11,-0.24,-1.29,68.48,28.91,11.99,0.0,0,28.91,LOW
SYNTH-BATCH-000033,Snapper,True,48,0.26,-0.41,-2.01,1.44,4.62,,43.37,12.97,0.0,1,43.37,LOW
SYNTH-BATCH-000033,Snapper,False,0,,,,,0.49,68.78,57.83,15.45,0.0,0,57.83,MEDIUM
SYNTH-BATCH-000034,Other,True,6,5.38,5.21,3.3,6.23,8.81,66.92,6.54,2.42,93.24,2,6.54,LOW
SYNTH-BATCH-000034,Other,True,14,5.22,5.99,5.13,8.27,7.24,64.5,13.09,2.98,161.25,12,13.09,MEDIUM
SYNTH-BATCH-000034,Other,True,32,7.98,8.54,6.27,11.86,8.11,65.83,19.63,6.68,400.63,31,19.63,HIGH
SYNTH-BATCH-000034,Other,True,25,5.69,6.29,4.63,7.7,9.41,71.78,26.18,5.66,302.6,22,26.18,MEDIUM
SYNTH-BATCH-000035,Sardine,True,48,7.51,7.16,5.26,10.14,7.08,62.34,25.51,9.35,561.0,48,25.51,HIGH
SYNTH-BATCH-000035,Sardine,True,152,8.08,8.09,5.55,10.66,8.31,64.51,51.01,26.23,1573.8,152,51.01,HIGH
SYNTH-BATCH-000035,Sardine,True,145,10.07,9.69,6.89,12.77,11.46,60.35,76.52,27.25,1635.0,144,76.52,HIGH
SYNTH-BATCH-000035,Sardine,True,158,8.86,9.79,7.48,12.61,6.85,61.88,102.02,38.34,2300.2,158,102.02,HIGH
SYNTH-BATCH-000036,Sardine,True,4,7.48,7.13,6.14,10.77,8.61,96.24,14.32,2.23,133.76,4,14.32,MEDIUM
SYNTH-BATCH-000036,Sardine,False,0,,,,,9.66,93.44,28.65,8.96,0.0,0,28.65,LOW
SYNTH-BATCH-000036,Sardine,True,44,6.71,7.61,5.17,8.27,7.09,89.2,42.97,18.64,1118.21,44,42.97,HIGH
SYNTH-BATCH-000036,Sardine,True,32,10.24,9.98,8.7,10.72,6.65,93.78,57.3,19.55,1173.0,32,57.3,HIGH
SYNTH-BATCH-000037,Sardine,True,24,1.82,2.15,0.22,5.84,4.54,89.19,26.91,6.78,99.54,9,26.91,LOW
SYNTH-BATCH-000037,Sardine,True,44,2.96,2.47,1.03,2.96,3.55,88.86,53.81,25.21,79.35,2,53.81,LOW
SYNTH-BATCH-000037,Sardine,True,56,1.96,2.56,0.55,4.18,,90.65,80.72,10.87,105.23,8,80.72,LOW
SYNTH-BATCH-000037,Sardine,True,165,2.59,2.43,1.04,4.16,0.84,89.04,107.62,35.89,309.62,22,107.62,MEDIUM
SYNTH-BATCH-000038,Snapper,True,19,4.99,4.2,3.34,4.99,5.92,54.2,31.01,5.3,134.47,8,31.01,MEDIUM
SYNTH-BATCH-000038,Snapper,True,41,3.21,4.57,3.17,7.72,3.8,60.67,62.02,20.51,844.35,29,62.02,MEDIUM
SYNTH-BATCH-000038,Snapper,True,93,4.86,4.19,3.63,4.86,,60.47,93.03,21.57,533.52,39,93.03,MEDIUM
SYNTH-BATCH-000038,Snapper,True,93,5.73,5.98,4.43,6.34,3.64,58.55,124.04,45.17,2019.86,69,124.04,HIGH
SYNTH-BATCH-000039,Tilapia,True,10,4.05,4.88,2.14,6.61,4.82,60.21,11.21,5.24,199.56,7,11.21,MEDIUM
SYNTH-BATCH-000039,Tilapia,True,24,7.19,5.87,3.29,9.34,6.41,63.04,22.42,11.17,651.57,24,22.42,MEDIUM
SYNTH-BATCH-000039,Tilapia,True,97,5.01,4.21,3.88,5.05,2.56,63.08,33.63,18.15,467.38,43,33.63,MEDIUM
SYNTH-BATCH-000039,Tilapia,True,107,6.38,5.72,3.4,9.24,6.28,61.52,44.85,22.39,1270.63,101,44.85,HIGH
SYNTH-BATCH-000040,Mackerel,True,17,3.34,5.02,2.72,7.01,5.49,91.27,34.79,9.87,404.29,12,34.79,MEDIUM
SYNTH-BATCH-000040,Mackerel,True,70,4.17,4.57,1.93,4.89,5.42,92.2,69.59,36.09,993.99,34,69.59,MEDIUM
SYNTH-BATCH-000040,Mackerel,True,89,4.92,5.06,4.84,6.89,5.71,90.85,104.38,48.96,1993.27,62,104.38,HIGH
SYNTH-BATCH-000040,Mackerel,True,107,4.22,4.22,3.08,6.4,5.12,91.31,139.18,17.98,581.45,60,139.18,MEDIUM
SYNTH-BATCH-000041,Tuna,True,9,6.92,6.62,4.77,8.76,6.12,,6.82,1.88,112.63,9,6.82,MEDIUM
SYNTH-BATCH-000041,Tuna,True,24,9.36,9.96,8.49,13.53,8.37,87.6,13.64,5.04,302.16,24,13.64,HIGH
SYNTH-BATCH-000041,Tuna,True,54,9.27,9.61,8.57,10.05,7.85,83.76,20.46,11.22,672.97,53,20.46,HIGH
SYNTH-BATCH-000041,Tuna,True,41,11.29,9.42,7.46,11.79,9.54,88.09,27.29,10.91,654.5,39,27.29,HIGH
SYNTH-BATCH-000042,Sardine,True,11,4.88,6.06,4.4,7.79,6.49,77.53,13.42,4.2,219.08,9,13.42,MEDIUM
SYNTH-BATCH-000042,Sardine,True,22,7.95,7.18,6.58,10.45,8.02,77.05,26.83,6.26,375.6,19,26.83,MEDIUM
SYNTH-BATCH-000042,Sardine,True,37,8.4,8.67,6.59,10.37,7.83,70.0,40.25,7.7,462.0,37,40.25,MEDIUM
SYNTH-BATCH-000042,Sardine,True,45,9.05,7.45,4.78,9.05,12.18,75.35,53.66,9.64,578.4,45,53.66,HIGH
SYNTH-BATCH-000043,Tilapia,True,34,5.59,5.2,4.99,6.21,4.97,86.76,17.52,8.96,344.55,22,17.52,MEDIUM
SYNTH-BATCH-000043,Tilapia,True,18,6.09,4.55,3.0,6.45,4.29,87.73,35.03,7.67,268.09,10,35.03,MEDIUM
SYNTH-BATCH-000043,Tilapia,True,96,5.54,5.1,3.87,6.31,5.34,82.99,52.55,25.87,988.66,59,52.55,MEDIUM
SYNTH-BATCH-000043,Tilapia,True,133,4.8,5.14,3.21,8.73,4.0,91.24,70.06,22.29,1117.73,111,70.06,HIGH
SYNTH-BATCH-000044,Snapper,True,12,-0.59,0.79,-0.88,2.43,-1.57,58.54,23.36,5.13,0.0,0,23.36,LOW
SYNTH-BATCH-000044,Snapper,True,116,0.52,1.0,0.52,4.11,1.43,63.41,46.72,23.94,0.0,1,46.72,LOW
SYNTH-BATCH-000044,Snapper,True,48,2.7,1.78,0.1,4.07,0.62,67.73,70.08,12.56,44.67,4,70.08,LOW
SYNTH-BATCH-000044,Snapper,True,114,2.37,1.81,0.99,3.33,3.65,62.69,93.44,33.51,8.2,2,93.44,LOW
SYNTH-BATCH-000045,Tuna,True,39,1.92,1.4,1.09,3.06,3.91,78.39,41.45,14.29,0.0,0,41.45,LOW
SYNTH-BATCH-000045,Tuna,True,135,0.96,1.38,-0.42,1.8,2.65,70.21,82.9,32.57,0.0,2,82.9,LOW
SYNTH-BATCH-000045,Tuna,True,84,3.27,4.07,3.27,7.29,3.53,66.67,124.35,37.12,1317.43,51,124.35,HIGH
SYNTH-BATCH-000045,Tuna,True,199,2.11,1.5,-0.44,2.11,2.32,70.36,165.8,43.02,0.0,0,165.8,MEDIUM
SYNTH-BATCH-000046,Snapper,True,29,1.05,2.08,0.78,2.65,0.69,89.08,18.6,9.8,0.0,0,18.6,LOW
SYNTH-BATCH-000046,Snapper,True,20,2.55,3.27,0.69,7.37,2.15,85.81,37.21,5.86,176.62,9,37.21,MEDIUM
SYNTH-BATCH-000046,Snapper,True,48,0.34,-0.03,-2.51,0.34,2.58,85.85,55.81,23.11,0.0,2,55.81,LOW
SYNTH-BATCH-000046,Snapper,True,46,2.77,2.71,2.47,3.43,2.1,86.28,74.42,20.63,148.05,4,74.42,LOW
SYNTH-BATCH-000047,Tuna,True,107,-0.1,-0.45,-1.54,0.6,1.2,60.08,40.36,19.54,0.0,0,40.36,LOW
SYNTH-BATCH-000047,Tuna,True,82,1.16,0.65,-0.67,2.65,0.07,66.93,80.72,14.66,0.0,0,80.72,MEDIUM
SYNTH-BATCH-000047,Tuna,True,53,1.97,1.63,0.9,5.8,0.29,62.3,121.08,22.58,244.25,10,121.08,MEDIUM
SYNTH-BATCH-000047,Tuna,True,228,0.69,0.14,-1.39,2.49,0.48,62.23,161.43,53.99,0.0,2,161.43,MEDIUM
SYNTH-BATCH-000048,Snapper,False,0,,,,,3.41,60.71,19.24,2.53,0.0,0,19.24,LOW
SYNTH-BATCH-000048,Snapper,False,0,,,,,4.34,67.27,38.48,12.85,0.0,0,38.48,LOW
SYNTH-BATCH-000048,Snapper,True,42,4.17,3.68,3.2,4.54,,63.5,57.72,9.69,188.67,15,57.72,MEDIUM
SYNTH-BATCH-000048,Snapper,True,33,4.18,2.95,0.89,6.74,3.02,57.28,76.96,10.06,249.35,15,76.96,MEDIUM
SYNTH-BATCH-000049,Snapper,True,37,4.69,4.79,2.03,8.03,3.37,90.53,36.2,7.69,340.68,26,36.2,MEDIUM
SYNTH-BATCH-000049,Snapper,True,206,4.54,5.09,2.77,5.72,6.05,85.23,72.41,35.69,1261.08,122,72.41,MEDIUM
SYNTH-BATCH-000049,Snapper,True,153,6.65,5.45,4.63,8.85,7.27,83.43,108.61,27.37,1447.89,133,108.61,HIGH
SYNTH-BATCH-000049,Snapper,True,268,4.43,5.89,3.82,6.74,4.59,81.65,144.82,75.27,3459.38,206,144.82,HIGH
SYNTH-BATCH-000050,Mackerel,True,12,3.91,2.62,2.1,5.66,1.4,70.26,7.54,3.2,55.22,2,7.54,LOW
